iter	Passed	Remaining
0	82	41211
1	101	25206
2	118	19668
3	137	17016
4	153	15160
5	168	13853
6	183	12938
7	199	12262
8	215	11753
9	231	11320
10	246	10956
11	262	10664
12	278	10425
13	295	10257
14	315	10203
15	330	10011
16	353	10057
17	369	9904
18	386	9793
19	402	9665
20	418	9551
21	437	9513
22	454	9423
23	471	9345
24	488	9277
25	506	9240
26	524	9186
27	541	9126
28	558	9072
29	575	9016
30	591	8952
31	609	8914
32	626	8860
33	643	8825
34	661	8789
35	678	8749
36	696	8713
37	728	8857
38	747	8830
39	765	8798
40	783	8766
41	798	8704
42	814	8656
43	830	8603
44	845	8553
45	862	8510
46	877	8460
47	892	8408
48	908	8365
49	926	8334
50	943	8303
51	961	8280
52	978	8250
53	994	8214
54	1011	8186
55	1028	8152
56	1044	8117
57	1060	8082
58	1076	8049
59	1093	8017
60	1109	7982
61	1125	7948
62	1141	7914
63	1157	7886
64	1173	7851
65	1189	7820
66	1206	7795
67	1222	7764
68	1238	7735
69	1257	7721
70	1273	7692
71	1289	7664
72	1305	7638
73	1321	7609
74	1338	7583
75	1354	7558
76	1371	7536
77	1387	7507
78	1403	7477
79	1418	7449
80	1433	7416
81	1448	7385
82	1463	7353
83	1479	7324
84	1494	7296
85	1511	7274
86	1526	7244
87	1540	7214
88	1556	7186
89	1572	7162
90	1587	7135
91	1603	7109
92	1618	7082
93	1633	7055
94	1648	7029
95	1664	7002
96	1680	6981
97	1696	6958
98	1712	6938
99	1728	6913
100	1743	6885
101	1758	6862
102	1775	6843
103	1790	6817
104	1806	6794
105	1822	6773
106	1837	6749
107	1852	6725
108	1868	6702
109	1884	6679
110	1900	6659
111	1919	6650
112	1939	6642
113	1955	6622
114	1971	6599
115	1986	6575
116	2001	6552
117	2017	6531
118	2033	6509
119	2053	6501
120	2069	6481
121	2084	6460
122	2100	6437
123	2114	6412
124	2130	6390
125	2146	6371
126	2161	6349
127	2177	6327
128	2193	6307
129	2208	6285
130	2223	6263
131	2238	6240
132	2253	6219
133	2269	6197
134	2285	6179
135	2300	6156
136	2315	6135
137	2330	6113
138	2345	6092
139	2361	6072
140	2377	6052
141	2392	6032
142	2408	6011
143	2423	5991
144	2440	5974
145	2455	5953
146	2471	5933
147	2487	5915
148	2503	5897
149	2519	5877
150	2533	5856
151	2550	5839
152	2568	5824
153	2583	5803
154	2599	5785
155	2614	5764
156	2630	5746
157	2645	5725
158	2660	5705
159	2676	5687
160	2692	5669
161	2708	5650
162	2724	5632
163	2739	5613
164	2755	5593
165	2770	5574
166	2786	5555
167	2801	5535
168	2816	5516
169	2832	5497
170	2848	5479
171	2865	5465
172	2881	5447
173	2897	5429
174	2913	5411
175	2929	5392
176	2943	5372
177	2958	5352
178	2974	5333
179	2989	5314
180	3005	5296
181	3021	5279
182	3036	5259
183	3051	5239
184	3066	5221
185	3081	5202
186	3098	5186
187	3114	5168
188	3129	5148
189	3144	5130
190	3158	5110
191	3172	5088
192	3186	5069
193	3201	5050
194	3216	5031
195	3231	5012
196	3245	4992
197	3261	4973
198	3276	4955
199	3292	4938
200	3307	4920
201	3323	4903
202	3339	4885
203	3354	4867
204	3370	4850
205	3385	4832
206	3400	4813
207	3416	4795
208	3431	4778
209	3447	4760
210	3462	4742
211	3477	4724
212	3493	4706
213	3509	4689
214	3524	4672
215	3540	4654
216	3555	4636
217	3571	4619
218	3586	4601
219	3601	4584
220	3617	4567
221	3633	4550
222	3648	4532
223	3664	4514
224	3681	4499
225	3696	4481
226	3712	4464
227	3727	4446
228	3742	4428
229	3757	4411
230	3773	4394
231	3788	4376
232	3803	4358
233	3819	4341
234	3834	4323
235	3849	4305
236	3864	4288
237	3879	4270
238	3894	4252
239	3909	4235
240	3924	4218
241	3940	4201
242	3956	4184
243	3972	4168
244	3988	4151
245	4004	4135
246	4021	4119
247	4037	4103
248	4053	4085
249	4068	4068
250	4084	4051
251	4099	4034
252	4114	4017
253	4129	3999
254	4144	3981
255	4160	3965
256	4174	3947
257	4190	3930
258	4205	3912
259	4219	3895
260	4234	3877
261	4249	3860
262	4265	3843
263	4280	3826
264	4295	3809
265	4310	3791
266	4326	3775
267	4341	3758
268	4358	3742
269	4375	3727
270	4391	3710
271	4406	3693
272	4421	3676
273	4437	3660
274	4453	3643
275	4468	3626
276	4486	3611
277	4501	3594
278	4517	3578
279	4532	3561
280	4547	3544
281	4563	3527
282	4578	3511
283	4594	3494
284	4610	3477
285	4625	3461
286	4640	3444
287	4655	3427
288	4671	3410
289	4687	3394
290	4703	3378
291	4720	3362
292	4735	3345
293	4750	3328
294	4766	3312
295	4782	3296
296	4797	3279
297	4812	3262
298	4828	3246
299	4843	3229
300	4859	3212
301	4876	3196
302	4926	3203
303	4950	3191
304	4965	3174
305	4980	3157
306	4996	3141
307	5012	3124
308	5026	3107
309	5041	3090
310	5057	3073
311	5073	3057
312	5088	3040
313	5103	3023
314	5119	3006
315	5134	2989
316	5149	2972
317	5164	2955
318	5179	2938
319	5194	2921
320	5210	2905
321	5227	2889
322	5243	2873
323	5258	2856
324	5273	2839
325	5290	2823
326	5306	2807
327	5322	2791
328	5338	2774
329	5353	2757
330	5369	2741
331	5384	2724
332	5400	2708
333	5416	2692
334	5431	2675
335	5447	2658
336	5463	2642
337	5478	2625
338	5494	2609
339	5510	2592
340	5525	2576
341	5541	2559
342	5556	2543
343	5571	2526
344	5586	2510
345	5602	2493
346	5617	2477
347	5633	2460
348	5648	2444
349	5664	2427
350	5680	2411
351	5697	2395
352	5716	2380
353	5732	2364
354	5748	2347
355	5764	2331
356	5780	2315
357	5795	2298
358	5811	2282
359	5826	2265
360	5842	2249
361	5857	2232
362	5873	2216
363	5888	2200
364	5904	2183
365	5921	2167
366	5936	2151
367	5952	2135
368	5967	2118
369	5983	2102
370	5998	2085
371	6014	2069
372	6029	2053
373	6045	2036
374	6061	2020
375	6076	2003
376	6091	1987
377	6108	1971
378	6123	1955
379	6138	1938
380	6152	1921
381	6168	1905
382	6183	1888
383	6198	1872
384	6213	1855
385	6227	1839
386	6242	1822
387	6257	1806
388	6272	1789
389	6288	1773
390	6303	1757
391	6318	1740
392	6334	1724
393	6349	1708
394	6365	1692
395	6381	1675
396	6396	1659
397	6411	1643
398	6427	1627
399	6442	1610
400	6458	1594
401	6475	1578
402	6491	1562
403	6506	1546
404	6522	1529
405	6537	1513
406	6553	1497
407	6569	1481
408	6584	1465
409	6600	1448
410	6616	1432
411	6631	1416
412	6646	1400
413	6662	1383
414	6678	1367
415	6694	1351
416	6710	1335
417	6725	1319
418	6741	1303
419	6756	1286
420	6771	1270
421	6787	1254
422	6802	1238
423	6817	1222
424	6833	1205
425	6848	1189
426	6863	1173
427	6878	1157
428	6893	1140
429	6909	1124
430	6927	1109
431	6943	1092
432	6959	1076
433	6975	1060
434	6990	1044
435	7005	1028
436	7022	1012
437	7037	996
438	7053	980
439	7070	964
440	7085	947
441	7099	931
442	7114	915
443	7129	899
444	7144	883
445	7159	866
446	7174	850
447	7189	834
448	7204	818
449	7219	802
450	7233	785
451	7248	769
452	7264	753
453	7278	737
454	7293	721
455	7309	705
456	7324	689
457	7339	673
458	7354	656
459	7370	640
460	7385	624
461	7400	608
462	7416	592
463	7432	576
464	7450	560
465	7465	544
466	7481	528
467	7496	512
468	7512	496
469	7528	480
470	7544	464
471	7559	448
472	7574	432
473	7590	416
474	7605	400
475	7620	384
476	7637	368
477	7652	352
478	7668	336
479	7683	320
480	7699	304
481	7715	288
482	7731	272
483	7747	256
484	7764	240
485	7779	224
486	7794	208
487	7810	192
488	7825	176
489	7841	160
490	7857	144
491	7873	128
492	7888	112
493	7904	96
494	7920	80
495	7935	63
496	7951	47
497	7966	31
498	7981	15
499	7997	0
